DATE,RTWVDAK684NMFRBDAL,RTWVDAL684NMFRBDAL,RTWVDAR684NMFRBDAL,RTWVDAZ684NMFRBDAL,RTWVDCA684NMFRBDAL,RTWVDCO684NMFRBDAL,RTWVDCT684NMFRBDAL,RTWVDDE684NMFRBDAL,RTWVDFL684NMFRBDAL,RTWVDGA684NMFRBDAL,RTWVDHI684NMFRBDAL,RTWVDIA684NMFRBDAL,RTWVDID684NMFRBDAL,RTWVDIL684NMFRBDAL,RTWVDIN684NMFRBDAL,RTWVDKS684NMFRBDAL,RTWVDKY684NMFRBDAL,RTWVDLA684NMFRBDAL,RTWVDMA684NMFRBDAL,RTWVDMD684NMFRBDAL,RTWVDME684NMFRBDAL,RTWVDMI684NMFRBDAL,RTWVDMN684NMFRBDAL,RTWVDMO684NMFRBDAL,RTWVDMS684NMFRBDAL,RTWVDMT684NMFRBDAL,RTWVDNC684NMFRBDAL,RTWVDND684NMFRBDAL,RTWVDNE684NMFRBDAL,RTWVDNH684NMFRBDAL,RTWVDNJ684NMFRBDAL,RTWVDNM684NMFRBDAL,RTWVDNV684NMFRBDAL,RTWVDNY684NMFRBDAL,RTWVDOH684NMFRBDAL,RTWVDOK684NMFRBDAL,RTWVDOR684NMFRBDAL,RTWVDPA684NMFRBDAL,RTWVDRI684NMFRBDAL,RTWVDSC684NMFRBDAL,RTWVDSD684NMFRBDAL,RTWVDTN684NMFRBDAL,RTWVDTX684NMFRBDAL,RTWVDUT684NMFRBDAL,RTWVDVA684NMFRBDAL,RTWVDVT684NMFRBDAL,RTWVDWA684NMFRBDAL,RTWVDWI684NMFRBDAL,RTWVDWV684NMFRBDAL,RTWVDWY684NMFRBDAL
1989-09-01,111.3681,105.0834,101.4200,100.6819,103.6060,108.0839,105.3934,95.7531,100.7589,105.0997,108.0697,102.7785,105.5258,102.2196,101.0986,102.2260,107.0629,106.8462,107.8346,105.2957,101.5593,94.6638,105.6015,100.6708,103.3059,105.2965,106.1975,96.9855,103.3816,103.8611,104.4994,102.2395,109.5249,107.2182,101.9388,101.5822,105.0220,101.6323,103.8629,102.2269,104.8876,101.915,96.7555,103.3703,110.1406,95.8733,104.14,102.8497,105.7982,100.7777
1989-10-01,109.2345,103.3964,100.0258,99.4077,102.1194,105.7960,103.6366,94.9275,99.8546,103.1374,106.3278,101.1631,103.7827,100.7578,99.7235,100.6265,104.7665,105.0477,105.6456,103.2056,100.2560,93.8777,103.8136,99.0918,101.6781,103.7771,104.3386,96.0550,102.0281,102.1153,102.6100,100.6758,107.3619,105.2182,100.3494,100.1871,103.4169,100.2196,102.1465,100.8579,102.7541,100.4383,95.9629,101.8346,107.5607,95.063,102.5211,101.2974,103.6224,99.6659
1989-11-01,111.1719,103.4654,99.9564,99.4397,102.3792,105.5606,103.4849,94.6095,100.5584,103.0015,107.7974,101.1507,104.4871,100.5865,99.6724,100.4588,104.2481,105.2652,105.5134,102.4548,100.2063,93.5714,103.6688,98.7735,101.7050,104.0793,104.2476,95.6591,102.2549,101.8844,102.2935,100.5487,106.6714,105.0277,100.0863,99.8875,103.9948,100.0176,101.8105,100.9492,102.214,100.1888,96.0914,102.1179,106.8295,94.6922,103.0735,100.89,102.8843,99.708
1989-12-01,111.5092,103.1159,98.5855,97.9410,101.1965,103.4183,102.0448,94.2286,99.8310,101.1622,107.6695,100.0264,103.5321,99.1786,98.4317,99.3082,102.3759,104.8007,103.6974,101.3446,99.0629,92.6733,102.1172,97.1366,100.2774,103.1486,102.6418,94.5503,101.4377,100.2614,100.4943,99.3277,104.3557,103.2596,98.6408,98.8982,103.4361,98.7620,100.1417,100.3631,100.4007,98.7725,94.9772,101.0867,104.2891,93.9776,102.5057,99.4466,100.4699,101.2372
1990-01-01,112.8292,102.6284,98.6085,97.1648,100.7978,102.7891,101.5729,94.5516,98.7477,100.6842,108.3871,100.0582,103.8911,98.9710,98.4205,99.1964,101.6632,104.8675,103.0284,100.1700,98.9793,93.0089,101.7448,96.6583,99.9531,103.5847,102.2139,94.6775,101.4603,99.7189,99.9216,98.5908,104.1093,102.5055,98.6760,98.8262,103.8511,98.6431,99.4466,100.1250,100.0938,98.6668,94.0313,101.1767,103.1029,94.7549,102.4924,99.2683,99.4894,100.1273
1990-02-01,113.2811,102.6476,99.0883,97.0083,100.7456,102.7193,101.5680,95.6717,99.2201,100.7405,108.6326,100.5798,104.2893,99.3739,98.9649,99.4690,101.9268,104.7154,102.9186,100.6661,99.3935,94.0790,101.8848,97.2237,100.2682,104.5164,102.1987,95.7420,101.8143,99.8138,99.9644,98.4844,104.4790,102.5991,99.3263,99.0015,104.2547,99.0284,99.3858,100.1975,100.6504,98.9297,93.7308,101.3096,102.7845,96.2478,102.3938,99.7319,99.3687,101.6175
1990-03-01,117.8345,104.3013,100.1284,98.3359,102.5255,104.5597,102.9651,95.2116,99.7087,101.9327,112.6656,101.8799,107.0475,100.1921,99.7193,100.7709,102.9289,106.5463,104.6279,101.0801,100.0150,93.7466,103.3463,97.4691,101.2881,105.3228,103.6596,95.4076,103.4835,100.9159,101.0191,99.6979,105.0916,103.8670,99.7614,99.9688,106.5036,99.6791,100.2017,101.3299,101.2051,99.7168,94.4732,102.5666,104.2666,95.4569,104.7958,100.3364,100.5223,101.41
1990-04-01,119.7761,103.7881,99.6346,97.7880,102.1787,104.0422,102.1111,94.1991,100.1018,101.2283,113.8832,101.4122,107.5280,99.3767,98.9795,100.3775,102.0342,106.3427,103.7102,99.9845,99.1306,92.8081,102.7044,96.4061,100.5460,104.8785,103.0147,94.3247,103.3042,100.0930,100.0055,99.0909,104.0000,103.0764,98.8431,99.0417,106.7231,98.8311,99.2731,100.3259,100.3361,98.99,93.9855,101.98,103.2429,94.3859,104.5655,99.3598,99.5763,101.1052
1990-05-01,116.6452,102.3814,98.8264,96.7678,100.8407,102.5705,100.9354,94.1800,99.4687,100.1745,111.1839,100.3722,105.5842,98.6620,98.3204,99.2014,101.0377,105.0159,102.3958,98.8834,98.5835,92.8351,101.5143,95.7872,99.4985,104.1651,101.8419,94.3323,102.0262,99.1285,99.0833,98.1381,103.2580,101.5819,98.3769,98.2945,105.0968,98.1963,98.3601,99.3481,99.5938,98.2726,93.2484,100.9895,101.7326,94.6722,102.9392,98.7927,98.3451,99.8293
1990-06-01,117.9301,102.9878,99.2900,97.1528,101.4635,103.2107,101.2999,94.3267,99.2016,100.6931,111.9861,100.8824,106.2414,98.9381,98.7041,99.7716,101.6113,106.0165,103.0336,99.3397,99.0355,92.9907,102.0588,95.9317,99.8651,104.6624,102.4068,94.3167,102.6385,99.5526,99.6271,98.5400,103.5071,102.0442,98.7730,98.7501,105.7980,98.5480,98.7498,99.9748,100.1859,98.6531,93.3398,101.4609,102.6419,94.7838,103.526,99.0923,99.0444,100.0111
